N55189	tv	tvnews	'Wheel Of Fortune' Guest Delivers Hilarious, Off The Rails Introduction	We'd like to solve the puzzle, Pat: Blair Davis' loveless marriage? On Monday, "Wheel of Fortune" welcomed as a new contestant trucking business owner Blair Davis, who offered a biting introduction for himself. When host Pat Sajak asked the man from Cardiff, California, about his family, Davis plunged into one of the darkest personal summaries the show has likely ever heard. "I've been trapped in a loveless marriage for the last 12 years to an...	https://assets.msn.com/labs/mind/AAIORni.html	[]	[{"Label": "Pat Sajak", "Type": "P", "WikidataId": "Q705419", "Confidence": 0.933, "OccurrenceOffsets": [31, 221], "SurfaceForms": ["Pat", "Pat Sajak"]}, {"Label": "Wheel of Fortune (American game show)", "Type": "N", "WikidataId": "Q3567653", "Confidence": 1.0, "OccurrenceOffsets": [80], "SurfaceForms": ["Wheel of Fortune"]}, {"Label": "Cardiff-by-the-Sea, Encinitas, California", "Type": "G", "WikidataId": "Q3400992", "Confidence": 1.0, "OccurrenceOffsets": [250], "SurfaceForms": ["Cardiff"]}, {"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 0.946, "OccurrenceOffsets": [259], "SurfaceForms": ["California"]}]
N42782	sports	baseball_mlb	Three takeaways from Yankees' ALCS Game 5 victory over the Astros	The Yankees kept hope alive thanks to some impressive starting pitching and a pair of early home runs.	https://assets.msn.com/labs/mind/AAJ1mE9.html	[{"Label": "New York Yankees", "Type": "O", "WikidataId": "Q213417", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["Yankees"]}, {"Label": "Houston Astros", "Type": "O", "WikidataId": "Q848117", "Confidence": 1.0, "OccurrenceOffsets": [59], "SurfaceForms": ["Astros"]}]	[{"Label": "New York Yankees", "Type": "O", "WikidataId": "Q213417", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Yankees"]}]
N34694	tv	tvnews	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	https://assets.msn.com/labs/mind/AAIZa64.html	[{"Label": "Rosie O'Donnell", "Type": "P", "WikidataId": "Q272929", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Rosie O'"]}]	[{"Label": "Rosie O'Donnell", "Type": "P", "WikidataId": "Q272929", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Rosie O'"]}]
N45794	news	newscrime	Four flight attendants were arrested in Miami's airport after bringing in thousands in cash, police say	Four American Airlines flight attendants were arrested at the Miami International Airport and charged with money laundering after bringing large amounts of cash into the country, police said.	https://assets.msn.com/labs/mind/AAJcQKF.html	[]	[{"Label": "Miami International Airport", "Type": "F", "WikidataId": "Q127530", "Confidence": 1.0, "OccurrenceOffsets": [62], "SurfaceForms": ["Miami International Airport"]}, {"Label": "American Airlines", "Type": "O", "WikidataId": "Q32396", "Confidence": 0.995, "OccurrenceOffsets": [5], "SurfaceForms": ["American Airlines"]}]
N18445	sports	football_ncaa	Michigan sends breakup tweet to Notre Dame as series goes on hold	Parting is such sweet sorrow, say the Wolverines.	https://assets.msn.com/labs/mind/AAJpMXE.html	[]	[]
N63302	lifestyle	lifestylebuzz	This Wedding Photo of a Canine Best Man Captures Just How Deep a Dog's Love Truly Is	When Mark Doublet made his dog, Marley, the best man at his wedding, he took his duties very seriously, and a photo of them together has gone viral.	https://assets.msn.com/labs/mind/AAJsM5B.html	[]	[]
N10414	movies	movienews	Robert Evans, 'Chinatown' Producer and Paramount Chief, Dies at 89	Robert Evans, the Paramount executive who produced "Chinatown" and "Urban Cowboy" and whose life became as melodramatic and jaw-dropping as any of his films, died on Saturday night. He was 89. Even though Hollywood history is filled with colorful characters, few can match the tale of Evans, whose life would seem far-fetched if it were	https://assets.msn.com/labs/mind/AAJtq5E.html	[{"Label": "Robert Evans", "Type": "P", "WikidataId": "Q1826885", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Robert Evans"]}, {"Label": "Paramount chief", "Type": "C", "WikidataId": "Q2082403", "Confidence": 1.0, "OccurrenceOffsets": [39], "SurfaceForms": ["Paramount Chief"]}]	[{"Label": "Robert Evans", "Type": "P", "WikidataId": "Q1826885", "Confidence": 1.0, "OccurrenceOffsets": [0, 285], "SurfaceForms": ["Robert Evans", "Evans"]}, {"Label": "Urban Cowboy", "Type": "W", "WikidataId": "Q538042", "Confidence": 1.0, "OccurrenceOffsets": [68], "SurfaceForms": ["Urban Cowboy"]}, {"Label": "Paramount Pictures", "Type": "O", "WikidataId": "Q159846", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Paramount"]}, {"Label": "Chinatown (1974 film)", "Type": "W", "WikidataId": "Q644987", "Confidence": 1.0, "OccurrenceOffsets": [52], "SurfaceForms": ["Chinatown"]}]
N19347	news	newspolitics	Former US Senator Kay Hagan dead at 66	Former U.S. Sen. Kay Hagan, a one-time Capitol Hill intern who went on to become North Carolina's first Democratic female senator, died Monday at her Greensboro home. She was 66.	https://assets.msn.com/labs/mind/AAJtpQT.html	[{"Label": "Kay Hagan", "Type": "P", "WikidataId": "Q261003", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Kay Hagan"]}, {"Label": "United States Senate", "Type": "B", "WikidataId": "Q66096", "Confidence": 1.0, "OccurrenceOffsets": [7], "SurfaceForms": ["US Senator"]}]	[{"Label": "Kay Hagan", "Type": "P", "WikidataId": "Q261003", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Kay Hagan"]}, {"Label": "Greensboro, North Carolina", "Type": "G", "WikidataId": "Q49238", "Confidence": 1.0, "OccurrenceOffsets": [150], "SurfaceForms": ["Greensboro"]}, {"Label": "North Carolina", "Type": "G", "WikidataId": "Q1454", "Confidence": 0.999, "OccurrenceOffsets": [81], "SurfaceForms": ["North Carolina"]}, {"Label": "United States Senate", "Type": "B", "WikidataId": "Q66096", "Confidence": 1.0, "OccurrenceOffsets": [7], "SurfaceForms": ["U.S. Sen"]}]
N31801	news	newspolitics	Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion	Joe Biden has a complicated history with the Catholic Church.	https://assets.msn.com/labs/mind/AAJwml6.html	[{"Label": "Joe Biden", "Type": "P", "WikidataId": "Q6279", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Joe Biden"]}, {"Label": "South Carolina", "Type": "G", "WikidataId": "Q1456", "Confidence": 0.999, "OccurrenceOffsets": [43], "SurfaceForms": ["South Carolina"]}]	[{"Label": "Catholic Church", "Type": "O", "WikidataId": "Q9592", "Confidence": 1.0, "OccurrenceOffsets": [45], "SurfaceForms": ["Catholic Church"]}, {"Label": "Joe Biden", "Type": "P", "WikidataId": "Q6279", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Joe Biden"]}]
N55689	sports	football_nfl	Charles Rogers, former Michigan State football, Detroit Lions star, dead at 38	Charles Rogers, the former Michigan State football star whom the Detroit Lions selected with the second overall pick in 2003 NFL draft, has died.	https://assets.msn.com/labs/mind/BBWAPO6.html	[{"Label": "Charles Rogers (American football)", "Type": "P", "WikidataId": "Q5082150", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Charles Rogers"]}, {"Label": "Detroit Lions", "Type": "O", "WikidataId": "Q271880", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Detroit Lions"]}]	[{"Label": "2003 NFL Draft", "Type": "U", "WikidataId": "Q3714946", "Confidence": 1.0, "OccurrenceOffsets": [120], "SurfaceForms": ["2003 NFL"]}, {"Label": "Charles Rogers (American football)", "Type": "P", "WikidataId": "Q5082150", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Charles Rogers"]}, {"Label": "Detroit Lions", "Type": "O", "WikidataId": "Q271880", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Detroit Lions"]}]
